timestamp,action,system_id,old_project_id,new_project_id,old_name,new_name,old_description,new_description,old_building_id,new_building_id,old_building,new_building,old_discipline_id,new_discipline_id,old_discipline,new_discipline,old_timeUpdated,new_timeUpdated,old_checklist_id,new_checklist_id,old_checklist_name,new_checklist_name,old_handover_date,new_handover_date
2025-03-17T12:18:48.136084,update,316390,24296,24296,GFTX_CP1_DCR-000990 Phase 6,GFTX_CP1_DCR-000990 Phase 6,DI WATER,DI WATER,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11235739,12105262,GFTX_CP1_DCR-000990 Phase 6 - GFTX_CC_MECHANICAL_PIPING_TP2241_MPCA,GFTX_CP1_DCR-000990 Phase 6 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:49.195835,update,363160,24296,24296,GFTX_CP1_DCR-000990 Phase 7,GFTX_CP1_DCR-000990 Phase 7,,,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11320560,14450860,GFTX_CP1_DCR-000990 Phase 7,GFTX_CP1_DCR-000990 Phase 7 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:50.243275,update,239708,24296,24296,GFTX_CP1_DCR-001003,GFTX_CP1_DCR-001003,Reroute ELY and DMC tank vents to carbon vessels,Reroute ELY and DMC tank vents to carbon vessels,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11939401,11939401,GFTX_CP1_DCR-001003 - GFTX_CC_MECHANICAL_PIPING_TP1962_EW,GFTX_CP1_DCR-001003 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:51.307644,update,250766,24296,24296,GFTX_CP1_DCR-001016,GFTX_CP1_DCR-001016,Permanent_Temporary Walls in Cathode Recycling Room,Permanent_Temporary Walls in Cathode Recycling Room,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10065225,9625013,GFTX_CP1_DCR-001016 - GFTX_CC_MECHANICAL_ROOM_HVAC_DRY_SIDE,GFTX_CP1_DCR-001016 - GFTX_DCR_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:52.377213,update,266616,24296,24296,GFTX_CP1_DCR-001016_LS,GFTX_CP1_DCR-001016_LS,Permanent_Temporary Walls in Cathode Recycling Room,Permanent_Temporary Walls in Cathode Recycling Room,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10346774,11939410,GFTX_CP1_DCR-001016_LS - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001016_LS - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_ELEC,,
2025-03-17T12:18:53.410887,update,266569,24296,24296,GFTX_CP1_DCR-001017,GFTX_CP1_DCR-001017,Particulate monitors for GFTX Can Stamping Phase 1 ,Particulate monitors for GFTX Can Stamping Phase 1 ,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10266053,10266053,GFTX_CP1_DCR-001017 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001017 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_CTRLS,,
2025-03-17T12:18:54.457162,update,235800,24296,24296,GFTX_CP1_DCR-001041,GFTX_CP1_DCR-001041,Install Builders Hoist Arms/Brackets,Install Builders Hoist Arms/Brackets,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,11643573,11643573,GFTX_CP1_DCR-001041 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001041 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_ELEC,,
2025-03-17T12:18:55.503073,update,235224,24296,24296,GFTX_CP1_DCR-001047,GFTX_CP1_DCR-001047,Nitrogen Room Safety Upgrades,Nitrogen Room Safety Upgrades,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,10542515,11939421,GFTX_CP1_DCR-001047 - GFTX_CC_MECHANICAL_PIPING_TP1949_HPN2,GFTX_CP1_DCR-001047 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:56.559814,update,249422,24296,24296,GFTX_CP1_DCR-001067,GFTX_CP1_DCR-001067,10 Vertical Balers and 3 Apartment Compactors,10 Vertical Balers and 3 Apartment Compactors,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,12374843,14907057,GFTX_CP1_DCR-001067 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001067 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_MECH,,
2025-03-17T12:18:57.647712,update,332797,24296,24296,GFTX_CP1_DCR-001092 Phase 1,GFTX_CP1_DCR-001092 Phase 1,Liquid Nitrogen Routing to Cathode Mixing Stack ,Liquid Nitrogen Routing to Cathode Mixing Stack ,36641,36641,CP1,CP1,,,,,2025-03-17T11:00:33.123000,2025-03-17T17:00:32.465010+00:00,13570208,13570208,GFTX_CP1_DCR-001092 Phase 1 - GFTX_CFX_FACILITIES_OPERATIONS_COMPLETION,GFTX_CP1_DCR-001092 Phase 1 - GFTX_DCR_CXC_COMMISSIONING_COMPLETION_CERTIFICATE_CTRLS,,
